zip,cbsa,geo_name,rpp
60456,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60457,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60458,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60459,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60460,38700,NA,NA
60461,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60462,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60463,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60464,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60465,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60466,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60467,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60468,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60468,28100,"Kankakee, IL ",92.9
60469,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60470,36837,NA,NA
60470,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60470,38700,NA,NA
60471,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60472,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60473,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60474,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60475,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
60476,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",102.8
